id,res_state_id:id,res_subdistrict_id:id,res_district_id:id,res_zip_id:id,country_id:id
res_city_1,res_state_0,res_subdistrict_0,res_district_0,res_zip_45220,base.th
res_city_2,res_state_0,res_subdistrict_517,res_district_0,res_zip_45220,base.th
res_city_3,res_state_0,res_subdistrict_4056,res_district_0,res_zip_45220,base.th
res_city_4,res_state_0,res_subdistrict_4056,res_district_481,res_zip_45180,base.th
res_city_5,res_state_0,res_subdistrict_4145,res_district_0,res_zip_45220,base.th
res_city_6,res_state_0,res_subdistrict_4921,res_district_0,res_zip_45220,base.th
res_city_7,res_state_0,res_subdistrict_4018,res_district_221,res_zip_45160,base.th
res_city_8,res_state_0,res_subdistrict_4185,res_district_220,res_zip_45190,base.th
res_city_9,res_state_0,res_subdistrict_5551,res_district_220,res_zip_45190,base.th
res_city_10,res_state_0,res_subdistrict_1702,res_district_341,res_zip_45110,base.th
res_city_11,res_state_0,res_subdistrict_4197,res_district_122,res_zip_45150,base.th
res_city_12,res_state_0,res_subdistrict_4197,res_district_203,res_zip_45000,base.th
res_city_13,res_state_0,res_subdistrict_10,res_district_9,res_zip_45210,base.th
res_city_14,res_state_0,res_subdistrict_1431,res_district_9,res_zip_45210,base.th
res_city_15,res_state_0,res_subdistrict_2121,res_district_9,res_zip_45210,base.th
res_city_16,res_state_0,res_subdistrict_2121,res_district_657,res_zip_45170,base.th
res_city_17,res_state_0,res_subdistrict_2728,res_district_9,res_zip_45210,base.th
res_city_18,res_state_0,res_subdistrict_2939,res_district_9,res_zip_45210,base.th
res_city_19,res_state_0,res_subdistrict_3105,res_district_9,res_zip_45210,base.th
res_city_20,res_state_0,res_subdistrict_3105,res_district_203,res_zip_45000,base.th
res_city_21,res_state_0,res_subdistrict_3938,res_district_9,res_zip_45210,base.th
res_city_22,res_state_0,res_subdistrict_4062,res_district_9,res_zip_45210,base.th
res_city_23,res_state_0,res_subdistrict_4062,res_district_701,res_zip_45170,base.th
